Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Vignolini, Silvia; Thomas, Meredith M; Kolle, Mathias; Wenzel, Tobias; Rowland, Alice; Rudall, Paula J; Baumberg, Jeremy J; Glover, Beverley J; Steiner, Ullrich; ",Directional scattering from the glossy flower of Ranunculus: how the buttercup lights up your chin,Journal of the Royal Society Interface,9,71,1295-1301,2012,The Royal Society
"Alistair J. McCormick, Paolo Bombelli, Robert W. Bradley, Rebecca Thorne, Tobias Wenzel, Christopher J. Howe; ",Biophotovoltaics: oxygenic photosynthetic organisms in the world of bioelectrochemical systems,Energy & Environmental Science,,8,1092-1109,2015,Royal Society of Chemistry
"Murillo, Luis Felipe R; Wenzel, Tobias; ",Welcome to the Journal of Open Hardware,Journal of Open Hardware,1,1,1,2017,Ubiquity Press
"Moyroud, Edwige; Wenzel, Tobias; Middleton, Rox; Rudall, Paula J; Banks, Hannah; Reed, Alison; Mellers, Greg; Killoran, Patrick; Westwood, M Murphy; Steiner, Ullrich; ",Disorder in convergent floral nanostructures enhances signalling to bees,Nature,550,7677,469-474,2017,Nature Publishing Group
"Wenzel, Tobias; ",Enhancing the functionality of photovoltaic and photonic biointerfaces through structuration,,,,,2017,University of Cambridge
"Wenzel, Tobias; Härtter, Daniel; Bombelli, Paolo; Howe, Christopher J; Steiner, Ullrich; ",Porous translucent electrodes enhance current generation from photosynthetic biofilms,Nature communications,9,1,1-9,2018,Nature Publishing Group
"Xing, Zhongyang; Caciagli, Alessio; Cao, Tianyang; Stoev, Iliya; Zupkauskas, Mykolas; O’Neill, Thomas; Wenzel, Tobias; Lamboll, Robin; Liu, Dongsheng; Eiser, Erika; ",Microrheology of DNA hydrogels,Proceedings of the National Academy of Sciences,115,32,8137-8142,2018,National Academy of Sciences
"Wenzel, Tobias; Vignolini, Silvia; ",A flower's nano-powers,Physics World,31,4,28,2018,IOP Publishing
"Fischer, Caroline; Eisentraut, Nikolas; Fischer, Georg; Fecher, Benedikt; Friesike, Sascha; Goller, Marion; Hamann, Hanjo; Havemann, Johanna; Heck, Tamara; Heimstädt, Maximilian; ",Unfundierte Kritik. Eine Erwiderung auf einen Kommentar zu Schwächen von Open Access,,,,,2019,OSF Preprints
"Heaney, Peter J; Post, Jeffrey E; Chen, Si Athena; Clark, Trevor; Wenzel, Tobias; Jacucci, Gianni; Vignolini, Silvia; ",PAINTING A RAINBOW WITH OCHRE: IRIDESCENCE IN BOTRYOIDAL GOETHITE,"GSA Annual Meeting in Indianapolis, Indiana, USA-2018",,,,2018,GSA
"Bonvoisin, Jérémy; Molloy, Jenny; Haeuer, Martin; Wenzel, Tobias; ",Standardisation of practices in Open Source Hardware,Journal of Open Hardware,4,1,2,2020,Ubiquity Press
